LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,LSOA GVA Estimates (millions),LU_pct_large_2025_msoa,LU_pct_micro_2025_msoa,share_enterprises_kibs_2025_msoa,turnover_diversity_1-HHI_2025_msoa,employment_rate_per_pop,Urban_rura,Pct_Working_Age,log_GVA,Urban_rura_binary
E01015471,Swindon 028A,E02006849,Swindon 028,15.064,0.0,0.8448275862068966,0.4583333333333333,0.7708333333333334,0.035149385,Urban,0.6673989455184535,2.7123077913548514,1
E01015473,Swindon 008A,E02003219,Swindon 008,495.26,0.0112359550561797,0.8202247191011236,0.4052287581699346,0.8165685595567866,4.708314193844741,Rural,0.6127698667891593,6.20508287719712,0
E01015475,Swindon 015A,E02003226,Swindon 015,99.694,0.0117647058823529,0.8235294117647058,0.2903225806451613,0.8303850156087409,0.7016840417000801,Urban,0.7129109863672815,4.602105494615246,1
E01015477,Swindon 015C,E02003226,Swindon 015,19.806,0.0117647058823529,0.8235294117647058,0.2903225806451613,0.8303850156087409,0.1381978993919292,Urban,0.7119955776672194,2.985984922099111,1
E01015478,Swindon 021A,E02003232,Swindon 021,194.209,0.0,0.8955223880597015,0.4067796610169492,0.7657550535077289,0.2765826674861709,Urban,0.6957590657652121,5.268934898758659,1
E01015479,Swindon 017A,E02003228,Swindon 017,127.924,0.0,0.8,0.3658536585365853,0.8350459707950243,0.9087237479806138,Urban,0.6910339256865913,4.851436337580282,1
E01015480,Swindon 015D,E02003226,Swindon 015,13.183,0.0117647058823529,0.8235294117647058,0.2903225806451613,0.8303850156087409,0.075075075,Urban,0.7537537537537538,2.5789281207758328,1
E01015481,Swindon 013A,E02003224,Swindon 013,15.851,0.0,0.9117647058823528,0.2666666666666666,0.7471383975026015,0.1718213058419244,Urban,0.6506300114547537,2.7632325898157557,1
E01015482,Swindon 013B,E02003224,Swindon 013,77.772,0.0,0.9117647058823528,0.2666666666666666,0.7471383975026015,0.3304484657749803,Urban,0.6199842643587726,4.35378146923358,1
E01015483,Swindon 013C,E02003224,Swindon 013,7.25,0.0,0.9117647058823528,0.2666666666666666,0.7471383975026015,0.054864667,Urban,0.5727871250914411,1.9810014688665833,1
E01015484,Swindon 013D,E02003224,Swindon 013,77.772,0.0,0.9117647058823528,0.2666666666666666,0.7471383975026015,0.068399453,Urban,0.5738714090287278,4.35378146923358,1
E01015485,Swindon 013E,E02003224,Swindon 013,10.289,0.0,0.9117647058823528,0.2666666666666666,0.7471383975026015,0.045489006823351,Urban,0.6770280515542078,2.331075363393673,1
E01015486,Swindon 013F,E02003224,Swindon 013,12.036,0.0,0.9117647058823528,0.2666666666666666,0.7471383975026015,0.068027211,Urban,0.573469388,2.487902158767799,1
E01015487,Swindon 023A,E02003234,Swindon 023,7.887,0.020408163,0.6938775510204082,0.3611111111111111,0.8348765432098765,0.046728972,Urban,0.6161548731642189,2.065215834415854,1
E01015488,Swindon 023B,E02003234,Swindon 023,57.559,0.020408163,0.6938775510204082,0.3611111111111111,0.8348765432098765,1.570855614973262,Urban,0.6029411764705882,4.052810508692435,1
E01015489,Swindon 023C,E02003234,Swindon 023,15.488,0.020408163,0.6938775510204082,0.3611111111111111,0.8348765432098765,0.1720578114246387,Urban,0.5746730901582932,2.740065530534221,1
E01015490,Swindon 023D,E02003234,Swindon 023,5.126,0.020408163,0.6938775510204082,0.3611111111111111,0.8348765432098765,0.0360576923076923,Urban,0.6386217948717948,1.6343256279418794,1
E01015491,Swindon 023E,E02003234,Swindon 023,174.488,0.020408163,0.6938775510204082,0.3611111111111111,0.8348765432098765,1.5489913544668588,Urban,0.6368876080691642,5.161855971369551,1
E01015492,Swindon 023F,E02003234,Swindon 023,81.796,0.020408163,0.6938775510204082,0.3611111111111111,0.8348765432098765,0.8272058823529411,Urban,0.6558823529411765,4.404228342657568,1
E01015493,Swindon 017B,E02003228,Swindon 017,74.525,0.0,0.8,0.3658536585365853,0.8350459707950243,0.8732646663681146,Urban,0.6950291088222122,4.311134639564135,1
E01015494,Swindon 019A,E02003230,Swindon 019,45.818,0.0,0.7969924812030075,0.2978723404255319,0.8097506925207756,0.456621005,Urban,0.7519025875190258,3.8246770270111563,1
E01015496,Swindon 019C,E02003230,Swindon 019,21.155,0.0,0.7969924812030075,0.2978723404255319,0.8097506925207756,0.3546966731898239,Urban,0.7509784735812133,3.051876284172031,1
E01015497,Swindon 019D,E02003230,Swindon 019,11.67,0.0,0.7969924812030075,0.2978723404255319,0.8097506925207756,0.1310425160163075,Urban,0.7070471753057659,2.4570214462984645,1
E01015498,Swindon 021B,E02003232,Swindon 021,8.954,0.0,0.8955223880597015,0.4067796610169492,0.7657550535077289,0.0340715502555366,Urban,0.7120954003407155,2.192100359818774,1
E01015499,Swindon 018A,E02003229,Swindon 018,19.464,0.0,0.96,0.3478260869565217,0.7326388888888888,0.1832844574780058,Urban,0.6480938416422287,2.968566605481221,1
E01015500,Swindon 018B,E02003229,Swindon 018,6.596,0.0,0.96,0.3478260869565217,0.7326388888888888,0.021186441,Urban,0.711864407,1.8864634046973525,1
E01015501,Swindon 022A,E02003233,Swindon 022,410.402,0.02739726,0.7671232876712328,0.2962962962962963,0.8415637860082306,1.694915254237288,Urban,0.6197494473102432,6.017137167139032,1
E01015502,Swindon 022B,E02003233,Swindon 022,6.456,0.02739726,0.7671232876712328,0.2962962962962963,0.8415637860082306,0.019144863,Urban,0.6407147415443523,1.8650099309676478,1
E01015503,Swindon 022C,E02003233,Swindon 022,3412.047,0.02739726,0.7671232876712328,0.2962962962962963,0.8415637860082306,3.623747108712413,Urban,0.6491904394757132,8.13506768342877,1
E01015504,Swindon 018C,E02003229,Swindon 018,19.464,0.0,0.96,0.3478260869565217,0.7326388888888888,0.099601594,Urban,0.7091633466135459,2.968566605481221,1
E01015505,Swindon 018D,E02003229,Swindon 018,7.027,0.0,0.96,0.3478260869565217,0.7326388888888888,0.0348918353105373,Urban,0.732728542,1.9497598722100606,1
E01015506,Swindon 007A,E02003218,Swindon 007,15.447,0.0,0.92,0.1904761904761904,0.756198347,0.1336005344021376,Urban,0.6626586506346025,2.737414809732114,1
E01015507,Swindon 007B,E02003218,Swindon 007,6.181,0.0,0.92,0.1904761904761904,0.756198347,0.0182926829268292,Urban,0.6451219512195122,1.8214800706771364,1
E01015508,Swindon 010A,E02003221,Swindon 010,6.604,0.0,0.7555555555555555,0.1940298507462686,0.841308594,0.07482108,Urban,0.6623292127521145,1.8876755260578817,1
E01015509,Swindon 010B,E02003221,Swindon 010,706.386,0.0,0.7555555555555555,0.1940298507462686,0.841308594,2.3157894736842106,Urban,0.6978947368421052,6.560161830293808,1
E01015510,Swindon 010C,E02003221,Swindon 010,37.88,0.0,0.7555555555555555,0.1940298507462686,0.841308594,0.3771073646850044,Urban,0.6996450754214729,3.6344232683178777,1
