strategy,LSOA21CD,label,boost
LSOA-optimised (top 2 returns),E01015503,Swindon 022C,0.3
LSOA-optimised (top 2 returns),E01015568,Swindon 014D,0.3
2 top adjusted-productivity LSOAs,E01015503,Swindon 022C,0.3
2 top adjusted-productivity LSOAs,E01033843,Swindon 008H,0.3
2 biggest workplace hubs,E01015473,Swindon 008A,0.3
2 biggest workplace hubs,E01015547,Swindon 008C,0.3
