LSOA21CD,LSOA21NM,LSOA21NMW,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,MSOA21CD,MSOA21NM,VOA_hereditaments_2023,VOA_total_RV_2023,VOA_median_RV_2023,VOA_total_RV_million_2023,VOA_median_RV_thousand_2023,VOA_hereditaments_2026,VOA_total_RV_2026,VOA_median_RV_2026,VOA_total_RV_million_2026,VOA_median_RV_thousand_2026,VOA_total_RV_pct_change,Mid-2024 population,Apprenticeship %,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills %","Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma %","Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma %","Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy) %",No qualifications %,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown) %",IMD_decile,Income_decile,Employment_decile,Education_decile,AdultSkills_decile,Pct_Working_Age,Working_Age_Pop,Total_Pop_Mid2024,Percentage of connections receiving less than 10Mbit/s broadband,Average download speed (Mbit/s),Percentage of homes unable to receive at least 30Mbit/s broadband,LSOA GVA Estimates (millions),LSOA11CD,part_time_employees,full_time_employees,full_to_part_ratio,total_employees,employment_rate_per_pop,LU_large_2025_msoa,LU_medium_2025_msoa,LU_micro_2025_msoa,LU_small_2025_msoa,LU_total_2025_msoa,LU_pct_micro_2025_msoa,LU_pct_small_2025_msoa,LU_pct_medium_2025_msoa,LU_pct_large_2025_msoa,LU_diversity_1-HHI_2025,pct_enterprise_0_to_49_thousand_2025_msoa,pct_enterprise_100_to_249_thousand_2025_msoa,pct_enterprise_1000_to_1999_thousand_2025_msoa,pct_enterprise_10000_to_49999_thousand_2025_msoa,pct_enterprise_2000_to_4999_thousand_2025_msoa,pct_enterprise_250_to_499_thousand_2025_msoa,pct_enterprise_50_to_99_thousand_2025_msoa,pct_enterprise_500_to_999_thousand_2025_msoa,pct_enterprise_5000_to_9999_thousand_2025_msoa,pct_enterprise_50000plus_thousand_2025_msoa,turnover_diversity_1-HHI_2025_msoa,total_enterprises_2025_msoa,share_enterprises_creative_2025_msoa,share_enterprises_foundational_2025_msoa,share_enterprises_green_aligned_2025_msoa,share_enterprises_industrial_2025_msoa,share_enterprises_kibs_2025_msoa,share_enterprises_anchor_2025_msoa,enterprises_per_1k_residents_2025,share_enterprises_public_2025_msoa,share_enterprises_private_2025_msoa,bus_stop_count,area_km2,bus_stop_density,dist_to_primary_m
E01028728,Vale of White Horse 015C,,UN1,Urban: Nearer to a major town or city,Urban,4400.034318,1123806.3013076782,4400.034317508289,E02005992,Vale of White Horse 015,11,3.59049E+11,31709636281,359049.1751,31709636.28,11,4.18773E+11,38248469281,418772.7281,38248469.28,16.633808721288172,1298,3.7750385208012327,6.3944530046224966,8.936825885978427,11.171032357473036,35.43913713405239,11.787365177195683,1.0015408320493069,7,6,6,8,8,0.610939908,793,1298,0,97.19593679,0,14.524,E01028728,125,75,0.6,200,0.15408320493066255,10,50,790,175,1025,0.7707317073170732,0.17073170731707318,0.048780488,0.009756098,0.8891507210858705,0.1657142857142857,0.26285714285714284,0.051428571,0.034285714,0.068571429,0.13714285714285715,0.16,0.085714286,0.022857142857142857,0.011428571428571429,0.8425142857142858,870,0.14942528735632185,0.26436781609195403,0.051724138,0.051724138,0.4942528735632184,0.063218391,670.2619414483821,0.005780347,0.9942196531791907,1,2.909733639703913,0.3436740691157413,178.86918694466002
E01028729,Vale of White Horse 015D,,RSN1,Smaller rural: Nearer to a major town or city,Rural,11796.51186,8150989.099098206,11796.51186051259,E02005992,Vale of White Horse 015,279,9.26246E+12,31733113281,9262458.29,31733113.28,261,9.99445E+12,38191061281,9994445.967,38191061.28,7.902736555412599,1916,2.609603340292276,6.628392484342379,8.716075156576201,12.369519832985386,36.53444676409186,6.263048016701461,0.6784968684759917,9,8,10,10,10,0.6383089770354906,1223,1916,0.022988506,100.7626298,3.7,353.797,E01028729,6000,800,0.13333333333333333,6800,3.549060542797495,10,50,790,175,1025,0.7707317073170732,0.17073170731707318,0.048780488,0.009756098,0.8891507210858705,0.1657142857142857,0.26285714285714284,0.051428571,0.034285714,0.068571429,0.13714285714285715,0.16,0.085714286,0.022857142857142857,0.011428571428571429,0.8425142857142858,870,0.14942528735632185,0.26436781609195403,0.051724138,0.051724138,0.4942528735632184,0.063218391,454.0709812108559,0.005780347,0.9942196531791907,19,21.080382467257426,0.9013119201945824,423.03585949060675
E01028730,Vale of White Horse 015E,,RSN1,Smaller rural: Nearer to a major town or city,Rural,32143.08488,44271138.38768768,32143.084877885874,E02005992,Vale of White Horse 015,101,3.40428E+12,31758900281,3404277.171,31758900.28,96,3.68505E+12,38176674781,3685046.418,38176674.78,8.247543692239654,1646,3.2806804374240586,5.528554070473876,8.930741190765493,12.515188335358443,41.130012150668286,8.383961117861482,1.336573511543135,8,9,9,10,10,0.5953827460510328,980,1646,0.005617978,55.38874598,6.7,119.65,E01028730,2000,450,0.225,2450,1.488456865127582,10,50,790,175,1025,0.7707317073170732,0.17073170731707318,0.048780488,0.009756098,0.8891507210858705,0.1657142857142857,0.26285714285714284,0.051428571,0.034285714,0.068571429,0.13714285714285715,0.16,0.085714286,0.022857142857142857,0.011428571428571429,0.8425142857142858,870,0.14942528735632185,0.26436781609195403,0.051724138,0.051724138,0.4942528735632184,0.063218391,528.5540705,0.005780347,0.9942196531791907,9,114.55204564800731,0.078566908,1883.6526962969433
E01028731,Vale of White Horse 010B,,RLN1,Larger rural: Nearer to a major town or city,Rural,17711.46488,11253835.673820496,17711.464877045088,E02005987,Vale of White Horse 010,172,5.60751E+12,31759462781,5607512.449,31759462.78,172,6.62592E+12,38550493781,6625924.917,38550493.78,18.161573035171184,2203,3.767589650476623,7.67135724,9.668633681,11.71130276895143,27.099409895596917,11.302768951429869,1.770313209,7,6,6,5,7,0.5869269178393101,1293,2203,0,109.9325959,1.3,36.305,E01028731,350,150,0.42857142857142855,500,0.22696323195642307,5,15,515,90,625,0.824,0.144,0.024,0.008,0.9025754422476587,0.12962962962962962,0.3148148148148148,0.074074074,0.018518518518518517,0.037037037037037035,0.1388888888888889,0.16666666666666666,0.092592593,0.018518518518518517,0.009259259,0.8208161865569273,550,0.17272727272727273,0.33636363636363636,0.063636364,0.063636364,0.43636363636363634,0.036363636,249.65955515206537,0,1,7,29.170761464437476,0.23996631039384445,2257.8029121174804
E01028732,Vale of White Horse 010C,,UN1,Urban: Nearer to a major town or city,Urban,11319.35571,4413990.771873474,11319.355709996456,E02005987,Vale of White Horse 010,55,1.93816E+12,33623131281,1938162.365,33623131.28,47,1.80568E+12,38161355281,1805677.3,38161355.28,-6.835601966,2136,2.902621722846442,5.149812734082397,8.192883895131086,11.938202247191011,26.54494382022472,7.162921348314606,1.2172284644194755,8,6,8,6,8,0.6802434456928839,1453,2136,0,86.80212072,7.2,230.858,E01028732,700,300,0.42857142857142855,1000,0.4681647940074906,5,15,515,90,625,0.824,0.144,0.024,0.008,0.9025754422476587,0.12962962962962962,0.3148148148148148,0.074074074,0.018518518518518517,0.037037037037037035,0.1388888888888889,0.16666666666666666,0.092592593,0.018518518518518517,0.009259259,0.8208161865569273,550,0.17272727272727273,0.33636363636363636,0.063636364,0.063636364,0.43636363636363634,0.036363636,257.4906367041199,0,1,16,11.438081128532454,1.398836030292509,192.85657496419836
E01028733,Vale of White Horse 002A,,UN1,Urban: Nearer to a major town or city,Urban,13525.88113,6624048.576927185,13525.881126884122,E02005979,Vale of White Horse 002,23,7.56077E+11,31723980281,756076.7198,31723980.28,23,8.75463E+11,38050903281,875462.6095,38050903.28,15.790181943448042,1412,4.2492917847025495,4.957507082152975,7.932011331444759,8.640226628895183,42.20963172804532,7.577903682719548,2.6203966005665724,8,8,8,7,10,0.5956090651558074,841,1412,0,96.60320513,0,34.157,E01028733,400,150,0.375,550,0.3895184135977337,0,20,415,65,500,0.83,0.13,0.04,0,0.8985839233652644,0.16049382716049382,0.32098765432098764,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.12345679012345678,0.24691358024691357,0.061728395,0.012345679012345678,0,0.7889041304679165,405,0.1111111111111111,0.30864197530864196,0.037037037037037035,0.037037037037037035,0.48148148148148145,0.074074074,286.8271954674221,0,1,7,17.247456956421342,0.40585693402144446,779.5058637220814
E01028734,Vale of White Horse 002B,,UN1,Urban: Nearer to a major town or city,Urban,4480.471402,886928.7552947998,4480.471402178411,E02005979,Vale of White Horse 002,14,4.42952E+11,31718795281,442952.4189,31718795.28,14,5.30786E+11,38050789781,530786.4979,38050789.78,19.82923565726984,1578,4.6261089987325725,7.414448669,9.632446134347274,11.153358681875792,35.741444866920155,11.47021546,2.9784537389100127,10,10,10,9,9,0.6242078580481623,985,1578,0,94.95062389,2,14.507,E01028734,125,100,0.8,225,0.14258555133079848,0,20,415,65,500,0.83,0.13,0.04,0,0.8985839233652644,0.16049382716049382,0.32098765432098764,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.12345679012345678,0.24691358024691357,0.061728395,0.012345679012345678,0,0.7889041304679165,405,0.1111111111111111,0.30864197530864196,0.037037037037037035,0.037037037037037035,0.48148148148148145,0.074074074,256.65399239543723,0,1,8,2.309134817331673,3.464501050330367,585.3649849497394
E01028735,Vale of White Horse 002C,,UN1,Urban: Nearer to a major town or city,Urban,4703.664971,781900.6337661743,4703.664971384793,E02005979,Vale of White Horse 002,5,1.74779E+11,31754507281,174779.444,31754507.28,5,1.8869E+11,37599923281,188689.6494,37599923.28,7.9587193607181215,1660,4.819277108433735,7.108433735,9.819277108433736,12.228915662650602,32.53012048192771,14.21686746987952,2.289156626506024,9,8,8,8,7,0.6210843373493976,1031,1660,0,107.8757062,0,14.067,E01028735,75,75,1,150,0.090361446,0,20,415,65,500,0.83,0.13,0.04,0,0.8985839233652644,0.16049382716049382,0.32098765432098764,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.12345679012345678,0.24691358024691357,0.061728395,0.012345679012345678,0,0.7889041304679165,405,0.1111111111111111,0.30864197530864196,0.037037037037037035,0.037037037037037035,0.48148148148148145,0.074074074,243.97590361445785,0,1,6,2.0347072491047338,2.9488271605853793,1256.3730913847296
E01028737,Vale of White Horse 007C,,RSN1,Smaller rural: Nearer to a major town or city,Rural,46989.30242,58443738.47,46989.30242372919,E02005984,Vale of White Horse 007,13,4.37029E+11,31705039281,437028.5697,31705039.28,12,4.54597E+11,37825112281,454597.3174,37825112.28,4.020045584880082,2409,3.3623910336239105,4.898298048982981,10.87588210875882,11.45703611457036,40.59775840597759,9.755085097550852,1.452885015,8,9,10,9,9,0.6064757160647571,1461,2409,0,89.49061372,2.8,60.866,E01028737,350,450,1.2857142857142858,800,0.332088003,0,10,520,45,575,0.9043478260869565,0.07826087,0.017391304347826087,0,0.8929845422116528,0.14678899082568808,0.3486238532110092,0.045871559633027525,0.009174312,0.036697248,0.14678899082568808,0.1926605504587156,0.064220183,0.009174312,0,0.7905058496759532,545,0.11926605504587157,0.30275229357798167,0.036697248,0.027522935779816515,0.43119266055045874,0.045871559633027525,226.2349522623495,0.009090909,0.990909091,29,151.83383429410648,0.1909982721231038,590.6343635592348
E01028738,Vale of White Horse 003A,,UN1,Urban: Nearer to a major town or city,Urban,12185.64028,6292171.911819458,12185.640277646078,E02005980,Vale of White Horse 003,29,9.75531E+11,31751612281,975531.4975,31751612.28,26,9.88287E+11,38176496781,988286.6373,38176496.78,1.3075067155861568,2326,7.738607050730868,7.136715391229578,9.071367153912297,12.553740326741186,19.38950988822012,5.717970765262253,1.8056749785038693,10,9,10,8,7,0.6582115219260533,1531,2326,0,45.80619048,3.9,78.553,E01028738,300,175,0.5833333333333334,475,0.20421324161650903,0,10,415,60,485,0.8556701030927835,0.12371134020618557,0.020618556701030927,0,0.894748264,0.14606741573033707,0.3258426966292135,0.056179775280898875,0.011235955056179775,0.033707865168539325,0.14606741573033707,0.20224719101123595,0.06741573,0.011235955056179775,0,0.8011614695114254,445,0.10112359550561797,0.3595505617977528,0.033707865168539325,0.033707865168539325,0.42696629213483145,0.08988764,191.31556319862426,0.011363636363636364,0.9886363636363636,12,16.35324863585035,0.7337991531354231,915.7988464
