rank,LSOA21CD,MSOA21CD,need,IPI,bottleneck,IPI_indirect_low,IPI_commute_down
117,E01015552,E02003220,0.0,0.0,msoa_out_commute_share,0.0,0.0
118,E01015561,E02003225,0.0,0.0,modern_sector_leverage,0.0,0.0
119,E01015560,E02003216,0.0,0.0,msoa_in_commute_share,0.0,0.0
120,E01015564,E02003225,0.0,0.0,modern_sector_leverage,0.0,0.0
121,E01015565,E02003222,0.0,0.0,firm_size_diversity,0.0,0.0
122,E01015581,E02003223,0.0,0.0,msoa_out_commute_share,0.0,0.0
123,E01032710,E02006849,0.0,0.0,firm_size_diversity,0.0,0.0
124,E01032708,E02003223,0.0,0.0,msoa_out_commute_share,0.0,0.0
125,E01032709,E02006847,0.0,0.0,employment_quality,0.0,0.0
126,E01032700,E02006847,0.0,0.0,employment_quality,0.0,0.0
127,E01015587,E02003236,0.0,0.0,msoa_local_worker_share,0.0,0.0
128,E01032702,E02006848,0.0,0.0,employment_quality,0.0,0.0
129,E01032707,E02003232,0.0,0.0,firm_size_diversity,0.0,0.0
130,E01033843,E02003219,0.0,0.0,msoa_out_commute_share,0.0,0.0
131,E01033841,E02003219,0.0,0.0,msoa_out_commute_share,0.0,0.0
132,E01032713,E02006847,0.0,0.0,msoa_in_commute_share,0.0,0.0
133,E01032714,E02003230,0.0,0.0,firm_size_diversity,0.0,0.0
134,E01032712,E02006848,0.0,0.0,employment_quality,0.0,0.0
135,E01032711,E02006848,0.0,0.0,employment_quality,0.0,0.0
136,E01033848,E02003235,0.0,0.0,modern_sector_leverage,0.0,0.0
137,E01033847,E02003235,0.0,0.0,qualification_index,0.0,0.0
