LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,log_LSOA GVA Estimates (millions),log_gva_per_worker,Urban_rura_Urban,is_swindon,LU_pct_micro_2025_msoa,LU_pct_large_2025_msoa,log_enterprises_per_1k_residents_2025,turnover_diversity_1-HHI_2025_msoa,employment_rate_per_pop,full_time_share,log_Mid-2024 population,IMD_decile
E01015471,Swindon 028A,E02006849,Swindon 028,2.7765807435093186,12.145797025305598,1.0,1,-0.2225381803937283,-0.566902634222329,-0.9760846209395366,-0.4921560351939623,-0.4797125274049829,0.2637352381242579,1.2288921768287375,1.1069371394734977
E01015473,Swindon 008A,E02003219,Swindon 008,6.207099982931871,10.785581146580652,0.0,1,-0.5956040470931775,1.1889750862237116,1.1024026421496522,0.7813003889248701,4.455554553825343,-1.088412619919465,1.0388005421866402,-0.1273202393169789
E01015475,Swindon 015A,E02003226,Swindon 015,4.612086215029821,10.950262539222262,1.0,1,-0.5454933007555959,1.2716046260094134,-0.6930072409087589,1.1660072368139054,0.2358286253686445,-1.7550177264060065,1.6198793086772325,-1.3615776181074557
E01015477,Swindon 015C,E02003226,Swindon 015,3.035241406648704,11.28004718455912,1.0,1,-0.5454933007555959,1.2716046260094134,-0.1392832427340109,1.1660072368139054,-0.3690874428149862,1.3507560651790154,0.2473315030411763,-1.3615776181074557
E01015478,Swindon 021A,E02003232,Swindon 021,5.274070779473495,12.975200191047264,1.0,1,0.5461730478165714,-0.566902634222329,-0.0418430344412477,-0.6335561899847745,-0.2205280310978237,-0.0986050375606613,-0.2058536923242781,-0.1273202393169789
E01015480,Swindon 015D,E02003226,Swindon 015,2.6520440643124705,10.978355343825374,1.0,1,-0.5454933007555959,1.2716046260094134,-1.0092057727385748,1.1660072368139054,-0.4368513288750805,0.867635697599123,2.40526091527274,-1.3615776181074557
E01015481,Swindon 013A,E02003224,Swindon 013,2.8244100022184053,10.87497959919544,1.0,1,0.7924636264578503,-0.566902634222329,-1.3281573056918845,-1.1519203076018991,-0.3329918988405466,-0.0986050375606613,0.0958337756651969,0.2840988869465133
E01015482,Swindon 013B,E02003224,Swindon 013,4.36655760376995,12.12904271630703,1.0,1,0.7924636264578503,-0.566902634222329,-0.7823000343845122,-1.1519203076018991,-0.1627017875331329,-2.1885837477112746,-1.2610954132927794,0.6955180132100055
E01015483,Swindon 013C,E02003224,Swindon 013,2.110213200346589,11.479034258068626,1.0,1,0.7924636264578503,-0.566902634222329,-0.9076229341762722,-1.1519203076018991,-0.4585476930370606,-0.0986050375606613,-0.949950392462375,0.6955180132100055
E01015484,Swindon 013D,E02003224,Swindon 013,4.36655760376995,13.490793076138138,1.0,1,0.7924636264578503,-0.566902634222329,-1.0231867842087643,-1.1519203076018991,-0.4440177713298655,1.3507560651790154,-0.6628387215854661,0.6955180132100055
E01015485,Swindon 013E,E02003224,Swindon 013,2.4238288002794097,12.052247190589346,1.0,1,0.7924636264578503,-0.566902634222329,-0.8461118351677458,-1.1519203076018991,-0.4686126920935641,-0.8232855889304995,-1.1026936880131717,0.6955180132100055
E01015486,Swindon 013F,E02003224,Swindon 013,2.567714760975316,11.698250839117575,1.0,1,0.7924636264578503,-0.566902634222329,-1.0325698745447305,-1.1519203076018991,-0.4444173821634707,1.3507560651790154,-0.6395183767108216,-0.1273202393169789
E01015487,Swindon 023A,E02003234,Swindon 023,2.184589534756338,11.632240025655909,1.0,1,-2.511470826456988,2.622344612474572,-0.7513169501315154,1.291069801276307,-0.4672815593415311,-0.5127082097719975,-0.558884328467368,0.6955180132100055
E01015488,Swindon 023B,E02003234,Swindon 023,4.070034793004519,10.28156657778913,1.0,1,-2.511470826456988,2.622344612474572,-0.7490164407712812,1.291069801276307,1.1689054327728363,-0.7770293835239143,-0.5645937520706317,-1.7729967443709478
E01015489,Swindon 023C,E02003234,Swindon 023,2.802632843588158,11.0341313120349,1.0,1,-2.511470826456988,2.622344612474572,-0.6987909372955747,1.291069801276307,-0.3327380043497025,2.2203727268228213,-0.6892270252666921,0.2840988869465133
E01015490,Swindon 023D,E02003234,Swindon 023,1.9632825487460155,11.643182474872171,1.0,1,-2.511470826456988,2.622344612474572,-0.4366903585600964,1.291069801276307,-0.4787374374355632,1.833876432758908,-1.339127110919213,-0.1273202393169789
E01015491,Swindon 023E,E02003234,Swindon 023,5.167570664499794,11.304155729900453,1.0,1,-2.511470826456988,2.622344612474572,-0.6199508043186892,1.291069801276307,1.1454336177516196,-1.3794357795166552,-0.8848033142427975,-1.7729967443709478
E01015492,Swindon 023F,E02003234,Swindon 023,4.416379751045544,11.19421433961753,1.0,1,-2.511470826456988,2.622344612474572,-0.5848354861595829,1.291069801276307,0.3705793718694827,-1.2580939197524024,-0.9718885156989864,-1.7729967443709478
E01015494,Swindon 019A,E02003230,Swindon 019,3.846267744362679,10.550136939436491,1.0,1,-0.9478863615716704,-0.566902634222329,-0.0655465511898461,0.5914629858391934,-0.0272525003011409,1.3507560651790154,1.8435961742807832,-1.3615776181074557
E01015496,Swindon 019C,E02003230,Swindon 019,3.098063204651453,10.28156657778913,1.0,1,-0.9478863615716704,-0.566902634222329,0.3686518424205031,0.5914629858391934,-0.1366707475685922,-0.2985169138006165,0.7693505184073989,-0.5387393655804712
E01015497,Swindon 019D,E02003230,Swindon 019,2.539236994333048,10.856450882078112,1.0,1,-0.9478863615716704,-0.566902634222329,0.6701295886318955,0.5914629858391934,-0.3767689207661521,-0.0986050375606613,0.0242509373402008,-0.5387393655804712
E01015498,Swindon 021B,E02003232,Swindon 021,2.2979744804363627,11.913273056454289,1.0,1,0.5461730478165714,-0.566902634222329,-0.1784727757970338,-0.6335561899847745,-0.4808696091978053,-0.0986050375606613,0.1323944797822158,0.2840988869465133
E01015501,Swindon 022A,E02003233,Swindon 022,6.019570838655752,12.091988927431547,1.0,1,-1.4008082313943295,3.7145525865165054,0.1186235848800504,1.4772700894218025,1.302086470546849,-1.8630446408959205,-0.9813251307315608,0.6955180132100055
E01015502,Swindon 022B,E02003233,Swindon 022,2.0090190773832903,12.279327754099118,1.0,1,-1.4008082313943295,3.7145525865165054,-0.1298565968921762,1.4772700894218025,-0.4968937707302251,-0.0986050375606613,-0.3664366763319334,-1.7729967443709478
E01015503,Swindon 022C,E02003233,Swindon 022,6.787215657688635,13.490793076138138,1.0,1,-1.4008082313943295,3.7145525865165054,0.1967572392719075,1.4772700894218025,3.372734342767921,-1.7021534916556231,-1.17456693689263,-1.7729967443709478
E01015506,Swindon 007A,E02003218,Swindon 007,2.800143089759132,11.25462094856243,1.0,1,0.917339606331108,-0.566902634222329,-1.6758016107511202,-0.8996541258783273,-0.3740228258613877,1.3507560651790154,-0.5617380874278753,-2.18441587063444
E01015507,Swindon 007B,E02003218,Swindon 007,1.9714386491281808,12.23579810055104,1.0,1,0.917339606331108,-0.566902634222329,-1.8318754941430628,-0.8996541258783273,-0.4978086067493246,-1.5479661403003384,-0.1718414913897913,-2.595834996897932
E01015508,Swindon 010A,E02003221,Swindon 010,2.0286744246261827,10.958271369195964,1.0,1,-1.576215674312622,-0.566902634222329,0.2761306422827158,1.470164496444582,-0.4371239986804264,0.0274263626775709,-0.4490475707217506,-2.18441587063444
E01015509,Swindon 010B,E02003221,Swindon 010,6.561576485792391,11.986318797221353,1.0,1,-1.576215674312622,-0.566902634222329,-0.0901201469707286,1.470164496444582,1.9686100342426232,-1.2185658896776843,0.4571006077569536,-0.9501584918439634
E01015510,Swindon 010C,E02003221,Swindon 010,3.66047997959224,10.704719915827976,1.0,1,-1.576215674312622,-0.566902634222329,-0.3849397251089667,1.470164496444582,-0.1126123256009987,2.1180648842764915,1.18737381532644,-1.7729967443709478
E01015511,Swindon 010D,E02003221,Swindon 010,2.3192455338871527,11.477363188411577,1.0,1,-1.576215674312622,-0.566902634222329,-0.1135842971550933,1.470164496444582,-0.4644946322805749,1.12190957527275,0.5151920437637415,-0.9501584918439634
