msoa,lat,lon
E02000001,51.519151395156044,-0.09469330321131537
E02004372,50.86937011109918,0.5919807027929692
E02006584,51.10456326914442,-0.22516627177237056
E02006411,51.4225277044188,-0.5009352521228337
E02003401,51.44725515041046,-0.9893828921449659
E02005040,51.3976384221761,0.3211258997378245
E02000269,51.50440794066165,-0.31600098418379896
E02006466,51.30353839804207,-0.5529302774934254
E02004783,50.91282902213468,-1.499247410503258
E02005174,51.097604396282314,0.5361821254825039
E02000213,51.38198013765262,-0.09920385879975475
E02005154,51.29100900071533,0.3060572212674223
E02000487,51.54934771911731,0.24864243596545352
E02000065,51.508113021221085,0.126443340591406
E02000881,51.51648672786899,-0.010300304059173522
E02003507,50.833624778841475,-0.06839983464777515
E02000784,51.48088233677974,-0.23924930722613494
E02000932,51.46075772589384,-0.20201007224734932
E02004688,51.25717395244522,-1.114875810603722
E02001835,52.555558415647475,-1.8241816443656125
E02000605,51.401271846381036,-0.2661238751611131
E02003935,50.63522809235672,-4.35915326260146
E02007028,50.74989424244849,-3.4062574071385296
E02004281,50.64911696745332,-2.4598756628807967
E02006595,51.053992407206955,-0.31108064757661497
E02000712,51.38984269072351,-0.19603253050463618
E02000619,51.492200113761314,-0.11188406626287019
E02004258,50.939765237551605,-2.318278593510233
E02006372,51.21557836288921,-0.3238479744347862
E02000747,51.51219661297908,0.01573617812287035
E02004699,51.1479271482857,-0.9809077962002497
E02003156,50.484857389962755,-3.5590567842026672
E02004202,50.67484139726473,-3.4945078223848034
E02000654,51.482983956339005,-0.0325719863220147
E02000193,51.51794879441899,-0.12423720455970666
E02000005,51.56117951362421,0.14280343993610484
E02004183,51.07292471034422,-4.073683330553724
E02001897,52.46656833041673,-1.8761782087500516
E02000293,51.64321003981529,-0.0959257758549834
E02003032,51.4712289468653,-2.52864240882322
E02005115,51.43840608475824,0.769545301061243
E02003151,50.36040525008746,-4.072099490607101
E02003319,51.39998055671291,0.49577872990202676
E02000680,51.43446220801781,-0.06111337296140054
E02000758,51.59513730668597,0.061255655116312535
E02003955,50.40999426876154,-5.070482861444053
E02006089,50.944905395534576,-2.6250044971183604
E02003082,51.35316730520065,-2.9765658481856723
E02005149,51.327845246461195,0.48511669453851813
E02000643,51.43922564138555,-0.1252806731251794
E02000577,51.52342037008296,-0.20897775584732156
E02004226,50.905829988991954,-4.0312245368757305
E02003428,51.506765568907525,-0.7532251419041758
E02006071,51.13004286075954,-3.0203889035270732
E02004156,50.72454477200105,-3.531247313183188
E02000202,51.39875559564967,-0.11070749821918134
E02004377,50.856174472679506,0.5395529594423879
E02004155,50.726874412706316,-3.4918926719118804
E02006564,50.98372983556796,-0.7431196642810229
E02003451,51.41408702132714,-0.831496720401063
E02000943,51.44777468067225,-0.1526660067083148
E02003596,50.63431730793553,-1.1759539162676809
E02006366,51.29302823271677,-0.35573918646813535
E02000301,51.62636545723653,-0.049167798207603926
E02000583,51.510738429544084,-0.20902780126190854
E02003343,51.35797405214121,0.5847755058924563
E02004144,50.63579920055436,-3.40579936971433
E02000140,51.4032756076093,0.10769361638960502
E02000912,51.575486887193684,-0.027595006293651202
E02004795,50.76087065078064,-1.53830722456919
E02004187,51.01768111123859,-3.8387929474429745
E02000828,51.475283635860706,-0.06631914047148332
E02006578,51.11943832606832,-0.1784423923587764
E02000439,51.60454809113092,-0.2790012451788189
E02000557,51.56322735045592,-0.1364363415594758
E02003170,50.394634272705716,-3.5159302508999004
E02007111,51.52872737703013,-0.07808413916618935
E02003321,51.39484311378445,0.47180406679486087
E02000186,51.535018645254056,-0.14180276382026066
E02000375,51.507622206937775,-0.226205702949674
E02004731,50.8583522652794,-1.2759047657083502
E02005173,51.12171769016642,0.26117714119670593
E02006853,51.498103256260144,-0.020534989398104473
E02003174,50.758965086577525,-1.8877876111898093
E02004819,51.20246553137635,-1.4871575782096595
E02001911,52.45560531425681,-1.980312343471208
W02000331,51.65804298066424,-3.0456268034698946
E02003430,51.48963025219145,-0.6119082192925895
E02004273,50.73323216574482,-2.931171053553769
E02003124,50.42235871856931,-4.153231765854136
E02003455,51.39553277815002,-0.9683925673288374
E02003533,50.81887251661267,-1.0865054628249022
E02003164,50.44897125225943,-3.567123526531998
E02006358,51.238534048867415,-0.5884790702108893
E02003924,50.214268801884494,-5.306120819870484
E02004147,50.621577534152344,-3.4120904503116405
E02003589,50.70135184792723,-1.3015391434537655
E02004390,50.77710800255938,0.12351264516729321
E02000028,51.64492052312038,-0.1775157219343711
E02003172,50.76778280415152,-1.8952482934770702
E02006462,51.31773083538611,-0.6143461366087679
E02004157,50.71809181559215,-3.5198735122255633
E02000467,51.60407449441362,0.21811203483061006
E02005158,51.2107102204068,0.25311564394733177
E02003496,50.85024441590677,-0.19368921668228098
E02005072,51.27558657490879,0.5552463433015111
E02004770,50.86836293311572,-0.9712473219413129
E02003504,50.83725736038939,-0.1415744410501942
E02006993,51.49540767446932,0.013730977808314388
E02000471,51.59395520587736,0.18132579159478873
E02004203,50.643156689130954,-3.7361711736203813
E02006420,51.338888049624735,-0.7267930963712975
E02004252,50.79784149325829,-1.9786444491288957
E02000138,51.40781263818349,-0.017345527796556712
E02006995,51.54749739894421,-0.009612831833380254
E02004777,50.78750925609468,-0.9818596331974435
E02000335,51.462556168474435,0.05833306520274909
E02000849,51.3680541990492,-0.1524608150338004
E02004158,50.71607860594434,-3.5436667385701694
E02004791,50.82663824751664,-1.3823364496758745
E02000567,51.545927159753,-0.08768612299245916
E02006553,50.80084480992645,-0.6910817197076146
E02006832,51.366289407739444,0.30447127810213426
E02000077,51.46751738606563,0.11517574272292525
E02003152,50.359247733866454,-4.103531840075341
E02004284,50.61393790663174,-2.454753047063278
E02003163,50.46412738692126,-3.5132159009735506
E02003934,50.63005910279355,-4.650374508112731
E02003202,50.733786557558474,-1.9091334777158977
E02000212,51.38295025079114,-0.11303715039063415
E02003403,51.44316104006876,-1.0108869705865096
E02000685,51.4285452929292,-0.06167329702005166
E02006387,51.22626765074575,-0.20043567031963266
E02006573,50.76930499119307,-0.8596105592844608
E02006557,50.79090597342309,-0.6869869436684701
E02003030,51.473797319265984,-2.5458432446601247
E02000266,51.508458137445,-0.36032695590099983
E02006437,51.173666372306855,-0.011840065744414046
E02000081,51.45737198564684,0.1575074044366859
E02000174,51.54915011044038,-0.13576304115086116
E02006534,50.84092693058727,-0.2372323782096874
E02006445,51.19168660518903,-0.6107935251735708
E02000969,51.52165334694537,-0.19382065045886776
E02000733,51.53400782811953,0.008205928708411442
E02000031,51.63204285045829,-0.17370030053922575
E02000272,51.50118826446987,-0.32506931436239506
E02003408,51.527468452236484,-0.6157804609174973
E02005080,51.24641495370603,0.5527330231925653
E02003134,50.39293139324537,-4.16574252220061
E02006889,51.456979296548056,-2.5671154036578994
E02006613,50.99950019514151,-0.09166520698357411
E02000634,51.459996141993734,-0.13320535664130437
E02003576,50.90196022340001,-1.3698595332539432
E02003442,51.45642525340605,-0.8821378451409851
E02000210,51.38484546813815,-0.07799354791094877
W02000317,51.78485316646836,-3.213089756009848
E02006457,51.33449093826793,-0.5081186687500111
E02000011,51.54449268034483,0.1654093054182173
E02005134,51.38279439770389,1.3817183502115753
E02004690,51.2474252919723,-1.1024687163406306
E02006925,51.583479405482194,0.05349288171018992
E02000499,51.577812088723014,-0.3945150981364112
E02001840,52.54131788968113,-1.8674124192750607
E02004130,50.79886375355439,-3.187519027224861
E02001919,52.44580838830111,-1.8735119364657644
E02000983,51.48685642753199,-0.1369334856349052
E02004286,50.59953830797881,-2.465665058392816
E02003895,50.45676436283144,-4.456900762364647
E02005039,51.41882469383753,0.2576786742383844
E02003026,51.479661681318795,-2.6322038341929934
W02000346,51.58210306972648,-2.8186584493671507
E02005043,51.22411346146287,1.393090204995892
E02000906,51.590570682869924,-0.027812365377309696
E02006103,51.025732719702546,-3.028524691306267
E02003948,50.12600509879127,-5.544408112765382
E02003536,50.80793874582235,-1.082735562615253
E02000090,51.43006557722607,0.09778060669921691
E02003918,50.244353841555146,-5.269789991651505
E02000515,51.5208316341498,-0.4765752686905629
E02003331,51.37472390179993,0.5819782594674456
E02006662,51.19753760406053,-1.7723978798454632
E02005175,51.047516722929714,0.5177010283028163
E02000649,51.42648273594632,-0.13106080593098815
E02002992,51.38738256761188,-2.3947399321663596
E02006989,50.37458080594587,-4.153152539916443
E02003514,50.829759269282,-0.14726588324717566
E02006388,51.2221585607054,-0.1675388807528663
E02003130,50.40257741763775,-4.18676642754184
E02003522,50.81743609976168,-0.10748994834088825
E02006328,51.37207370368603,-0.4547967109159803
E02000532,51.48594705157063,-0.26126714948685875
E02001902,52.45984010398804,-1.805375653812156
E02000947,51.44361431001808,-0.1988731872170467
E02003085,51.334629569427705,-2.9642086469078817
E02000851,51.36719691519731,-0.19115292151603835
E02003389,51.482234364085166,-0.9535532432374089
E02004702,51.110659136269724,-0.8543265505697464
E02000184,51.538865183638904,-0.13625388743021272
E02000377,51.50376090889572,-0.2403718049678238
E02006651,51.498421406506345,-2.1469810640146103
E02003076,51.38926094290662,-2.8224996180286284
E02006396,51.40490422715028,-0.5154139788364571
E02000411,51.590093109499634,-0.0587924800512919
E02004220,51.043383878712184,-4.212696038187464
E02004422,50.81678158335431,0.30738525793055665
E02003896,50.453146294915065,-4.467560708932975
E02000563,51.55322404946059,-0.12676855455442876
E02000225,51.34702118372748,-0.014165803883403254
E02005037,51.42794682899721,0.17109276131284987
E02000782,51.55170337615669,0.0717710773687625
E02006628,50.82007386336706,-0.38099558897051905
E02005136,51.379821966736934,1.3573446271103056
E02001888,52.47435203852347,-1.7893350124381864
E02000873,51.52638308617002,-0.042029674200370695
E02006353,51.249966635664094,-0.7218252217742706
E02003557,50.929892267497294,-1.3956296646499713
E02003506,50.835321508034475,-0.1827005318672448
E02000105,51.558682842980545,-0.31228359138755657
E02000671,51.44654030796724,-0.04153069660542247
E02005130,51.32711931613113,0.8037721403940629
E02004687,51.25883176173582,-1.131665949518925
E02004178,51.13822544459755,-4.175552789991721
E02003942,50.4690445969171,-4.733616327591119
E02000492,51.52351154098473,0.21160889317410775
E02003398,51.45461287699161,-0.948121989982967
E02000904,51.5954052821651,-0.00382489088645963
E02003182,50.73833058042014,-1.8232382138075713
E02001936,52.42441971232506,-1.8979641177373472
E02003374,51.43990925531884,-1.0389361896019091
E02003524,50.85186865051765,-1.0955524708446633
E02000524,51.48925232654334,-0.46667857992436945
E02006638,51.34990758226474,-1.9973830759026678
E02004381,50.87751195143562,0.008679915978443338
E02006413,51.40792219027545,-0.4242950752284833
E02004790,50.845294098569845,-1.7794834407079336
E02006377,51.312693542847,-0.2331120291846691
E02000675,51.44109593197708,0.01841883692574831
E02003227,51.56128097305798,-1.7559403166175016
E02000465,51.604940248942654,0.23616800816033398
E02006365,51.29524602807192,-0.3202125242058554
E02000954,51.43271856985444,-0.1621568976179025
E02006384,51.244060231681345,-0.17450943800769878
E02006661,51.19738076604242,-1.8022664473756085
E02003149,50.37161234806281,-4.12254431088432
E02004778,50.784747982362575,-0.9610929475604385
E02000483,51.56218662575955,0.2185420740573304
E02001859,52.51172717572816,-1.894041479861526
E02001856,52.51697871162864,-1.8624784233858669
E02001951,52.40364586743275,-2.0156104077322565
E02004793,50.797881183730304,-1.5942271127063654
E02006615,50.96177031817734,-0.14813519224232885
E02005044,51.219419847406776,1.4008197736379526
E02004159,50.715015383392156,-3.482197776824402
E02000587,51.49784692835586,-0.19633224699070503
E02006572,50.82990372547448,-0.7561666729694179
E02003515,50.82659528465348,-0.10738427136694409
E02000701,51.40930862268072,-0.15930893940645022
E02003037,51.46303303298879,-2.613721599812188
E02006970,51.50010427272113,-0.3845068222356603
E02006601,50.93110222726971,-0.278006098756225
E02006430,51.292467778572664,-0.09835687314909586
E02000040,51.612535749909696,-0.21547173968360112
E02004835,51.06319807555885,-1.3180904371701518
E02003028,51.47733854571232,-2.608849620347765
E02004161,50.71335491932408,-3.5026784221976848
E02004218,50.50103006481074,-3.5797132263906484
E02003530,50.82888332819295,-1.0730986933924498
E02006369,51.237963890998195,-0.2808376950207939
E02003946,50.14304231895303,-5.42318849417464
W02000326,51.702373669601776,-3.0466765051113307
W02000345,51.59033189448819,-2.7564415842053887
E02000236,51.316239925725796,-0.15072499753976887
E02003324,51.38896290879266,0.47408463170581067
E02003551,50.94061178176602,-1.376257384529587
E02001899,52.46348543730133,-1.9709911311139643
E02000957,51.424344192793036,-0.16460872231967
E02000251,51.526219750435196,-0.36410166826566936
E02000183,51.54052551781532,-0.15276988364787827
E02000543,51.46600245345211,-0.3645786059966071
E02003207,50.722700232126144,-2.02078162168672
E02003580,50.887290202385145,-1.3628718633599461
E02000396,51.46926629492771,-0.1931968037424903
E02004242,50.732391163542964,-1.7437726754037761
E02000117,51.544421627695726,-0.25011651904627746
E02003521,50.81979213246669,-0.12219010417480251
E02000653,51.490106899250506,-0.038360530741287695
E02003088,51.32736681089021,-2.8115364312161772
E02006440,51.23424429590093,-0.7978349612552162
E02000813,51.49791689273991,-0.05141455690140939
E02003080,51.35851074297235,-2.9249934168393024
E02000517,51.52026976651436,-0.43505632642677644
E02000539,51.473285864203895,-0.3314143213309807
E02006107,51.01365549152934,-3.082505609059584
E02006605,51.135572369805374,-0.11982259486453925
E02000815,51.49601351595547,-0.09551942811394021
E02004217,50.511109221111646,-3.7601823126959615
E02000363,51.54603896654736,-0.04612553059480859
E02002994,51.39530654298924,-2.3206765839944015
E02006392,51.17126465789924,-0.16429838383179785
W02000338,51.81879707241962,-3.0687677197431613
E02003180,50.74564265677813,-1.8769919419692693
E02005022,51.292437638815805,1.0806926528523189
E02000106,51.55834208710151,-0.24995517720131974
E02004746,50.80178848239019,-1.1942907691769877
E02003039,51.462203643789216,-2.535915446737983
E02000631,51.46437841020506,-0.09849719048432813
E02000498,51.58051165613719,-0.43752473107631223
E02006104,51.02872731516406,-3.0646961787998377
E02004768,50.87189458380867,-1.0230027229189211
E02006941,51.50226070776972,-0.07370160932802676
E02006626,50.82535897443487,-0.42671365200411443
E02006693,51.20325686371086,-2.1978930997298174
E02006425,51.31514424124845,-0.7346747521060532
E02003538,50.802006827262964,-1.0731069463399914
E02000114,51.54742049794898,-0.2290493756432008
E02003894,50.503958459667096,-4.31556302761785
E02000071,51.47435018009951,0.15705280137428004
E02006895,52.47018203882,-1.904581574514599
E02006625,50.827188049727226,-0.3671342983136609
E02000704,51.40755985086564,-0.2291446640500888
E02007040,52.44735796601905,-1.855595820347209
E02005012,51.364520887161625,1.1159102003608166
E02006355,51.24268187900755,-0.6075125449464882
E02006840,50.46789222137303,-3.552840128414214
E02005035,51.43670425071125,0.24265969975938007
W02000104,52.51708525431417,-3.312446655367187
E02003221,51.57296807054447,-1.7785739823022295
E02000305,51.62204285408816,-0.10653521148480827
E02003012,51.509815059538624,-2.6201481684371846
E02001949,52.40608245780917,-1.9212394889503315
E02003414,51.509707130598116,-0.6263490786099337
E02000818,51.49127576731749,-0.09206034472464354
E02000861,51.35105902941036,-0.17853085706225136
