FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,gva,lsoa_workers_at_workplace,ln_gva,ln_jobs,elasticity
14742,E01015524,Swindon 001F, ,419378,192423,51.63029,-1.72142,8f7ec714-5140-423d-ba3d-daed5836ee3b,5.977000000000001,3,1.7879187698421173,1.0986122886681098,0.5483293279524091
14743,E01015525,Swindon 026A, ,412445,187813,51.58904,-1.82175,119ed06f-9b33-4146-9905-5f69c3e01e7d,8.426,4,2.131322163556825,1.3862943611198906,0.39942052549549373
14744,E01015526,Swindon 006A, ,412645,187470,51.58595,-1.81887,624f40ad-cd88-47bf-bc39-a4db7c46667e,10.077,27,2.3102555992982654,3.295836866004329,0.450422199147847
14745,E01015527,Swindon 007C, ,414723,187227,51.58371,-1.78889,a7eb511b-0e28-4085-a63a-8542324f7e46,29.082000000000004,170,3.370119426091294,5.135798437050262,0.6251167629038922
14746,E01015528,Swindon 006B, ,413178,187293,51.58434,-1.81119,bdaf5b6c-94dd-451d-88b8-a3bc634a171b,10.359000000000002,96,2.337855707075965,4.564348191467836,0.47177060876054494
14747,E01015529,Swindon 006C, ,413963,187124,51.58281,-1.79986,ba8d980a-7059-4cf8-9f38-a0a7673df75d,15.487999999999996,166,2.740065530534221,5.111987788356544,0.5525203846089012
14748,E01015530,Swindon 006D, ,413532,186990,51.58161,-1.80609,457478ba-2b9a-4fd5-8c61-a202872805d8,21.741999999999997,189,3.0792458737818085,5.241747015059643,0.5568006749779743
14749,E01015532,Swindon 021D, ,415225,183488,51.55008,-1.78181,e7ffb224-83d7-408d-ba66-2926f37fbef9,26.173,311,3.26472834505029,5.739792912179234,0.5418809310090292
14750,E01015533,Swindon 024A, ,416386,183356,51.54886,-1.76507,077e53f7-e255-416d-9e68-d03cac9b23a4,12.166000000000002,84,2.4986451758985138,4.430816798843313,0.49676569984928864
14751,E01015534,Swindon 024B, ,416037,183768,51.55258,-1.77008,a679b610-c5a3-4918-9a2f-2e7684e4264b,82.715,829,4.415400964058979,6.720220155135295,0.5084407249451417
