LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,log_total_GVA_2023,log_gva_per_worker_2023,is_swindon,Urban_rura_Urban,LU_pct_micro_2025_msoa,LU_pct_large_2025_msoa,log_enterprises_per_1k_residents_2025,turnover_diversity_1-HHI_2025_msoa,LU_diversity_1-HHI_2025,share_enterprises_kibs_2025_msoa,emp_rate,full_time_share,log_Mid-2024 population,IMD_decile,GVA_2025_predicted,log_GVA_2025_predicted,gva_2025_imputed
E01015471,Swindon 028A,E02006849,Swindon 028,2.7765807435093186,12.145797025305598,Swindon,1.0,0.8448275862068966,0.0,4.667658055889029,0.7708333333333334,0.8961111111111111,0.4583333333333333,0.035149385,0.375,7.7306140660637395,10,13.858,2.699,0
E01015473,Swindon 008A,E02003219,Swindon 008,6.207099982931871,10.785581146580652,Swindon,0.0,0.8202247191011236,0.0112359550561797,5.864769761722492,0.8165685595567866,0.9216639313218028,0.4052287581699346,2.0,0.2195121951219512,7.686162303492906,7,512.133,6.241,0
E01015475,Swindon 015A,E02003226,Swindon 015,4.612086215029821,10.950262539222262,Swindon,1.0,0.8235294117647058,0.0117647058823529,4.830697421734289,0.8303850156087409,0.9058956916099772,0.2903225806451613,0.7016840417000801,0.1428571428571428,7.822044008185619,4,118.778,4.786,0
E01015477,Swindon 015C,E02003226,Swindon 015,3.035241406648704,11.28004718455912,Swindon,1.0,0.8235294117647058,0.0117647058823529,5.149616614450773,0.8303850156087409,0.9058956916099772,0.2903225806451613,0.1381978993919292,0.5,7.501082124259871,4,15.385,2.796,0
E01015478,Swindon 021A,E02003232,Swindon 021,5.274070779473495,12.975200191047264,Swindon,1.0,0.8955223880597015,0.0,5.205737629016313,0.7657550535077289,0.9048442906574394,0.4067796610169492,0.2765826674861709,0.3333333333333333,7.395107546562485,7,71.289,4.281,0
E01015480,Swindon 015D,E02003226,Swindon 015,2.6520440643124705,10.978355343825374,Swindon,1.0,0.8235294117647058,0.0117647058823529,4.648581817495157,0.8303850156087409,0.9058956916099772,0.2903225806451613,0.075075075,0.4444444444444444,8.005700678662542,4,10.772,2.466,0
E01015481,Swindon 013A,E02003224,Swindon 013,2.8244100022184053,10.87497959919544,Swindon,1.0,0.9117647058823528,0.0,4.464880613031461,0.7471383975026015,0.8494809688581314,0.2666666666666666,0.1718213058419244,0.3333333333333333,7.465655310134056,8,13.85,2.698,0
E01015482,Swindon 013B,E02003224,Swindon 013,4.36655760376995,12.12904271630703,Swindon,1.0,0.9117647058823528,0.0,4.779268938041047,0.7471383975026015,0.8494809688581314,0.2666666666666666,0.3304484657749803,0.0476190476190476,7.148345743900068,9,202.109,5.314,0
E01015483,Swindon 013C,E02003224,Swindon 013,2.110213200346589,11.479034258068626,Swindon,1.0,0.9117647058823528,0.0,4.707088793849674,0.7471383975026015,0.8494809688581314,0.2666666666666666,0.054864667,0.3333333333333333,7.221105098182496,9,5.294,1.84,0
E01015484,Swindon 013D,E02003224,Swindon 013,4.36655760376995,13.56412312701874,Swindon,1.0,0.9117647058823528,0.0,4.640529407077457,0.7471383975026015,0.8494809688581314,0.2666666666666666,0.068399453,0.5,7.288244401020124,9,202.109,5.314,0
E01015485,Swindon 013E,E02003224,Swindon 013,2.4238288002794097,12.052247190589346,Swindon,1.0,0.9117647058823528,0.0,4.742516317496052,0.7471383975026015,0.8494809688581314,0.2666666666666666,0.045489006823351,0.25,7.1853870155804165,9,7.804,2.175,0
E01015486,Swindon 013F,E02003224,Swindon 013,2.5677147609753157,11.698250839117575,Swindon,1.0,0.9117647058823528,0.0,4.635125184748289,0.7471383975026015,0.8494809688581314,0.2666666666666666,0.068027211,0.5,7.293697720601438,7,9.921,2.391,0
E01015487,Swindon 023A,E02003234,Swindon 023,2.184589534756338,11.632240025655909,Swindon,1.0,0.6938775510204082,0.020408163,4.797113749265418,0.8348765432098765,0.9072,0.3611111111111111,0.046728972,0.2857142857142857,7.312553498102598,9,4.559,1.715,0
E01015488,Swindon 023B,E02003234,Swindon 023,4.070034793004519,10.106191286357554,Swindon,1.0,0.6938775510204082,0.020408163,4.798438735342274,0.8348765432098765,0.9072,0.3611111111111111,1.570855614973262,0.2553191489361702,7.311218384419629,3,78.218,4.372,0
E01015489,Swindon 023C,E02003234,Swindon 023,2.802632843588158,11.0341313120349,Swindon,1.0,0.6938775510204082,0.020408163,4.8273662824145545,0.8348765432098765,0.9072,0.3611111111111111,0.1720578114246387,0.6,7.282073658093465,8,13.972,2.706,0
E01015490,Swindon 023D,E02003234,Swindon 023,1.812542008410584,11.643182474872171,Swindon,1.0,0.6938775510204082,0.020408163,4.9783239892439095,0.8348765432098765,0.9072,0.3611111111111111,0.0360576923076923,0.5555555555555556,7.130098510125578,7,4.118,1.633,0
E01015491,Swindon 023E,E02003234,Swindon 023,5.167570664499794,11.304155729900453,Swindon,1.0,0.6938775510204082,0.020408163,4.872774521258329,0.8348765432098765,0.9072,0.3611111111111111,1.5489913544668588,0.1860465116279069,7.236339342754344,3,148.39,5.007,0
E01015492,Swindon 023F,E02003234,Swindon 023,4.416379751045544,11.19421433961753,Swindon,1.0,0.6938775510204082,0.020408163,4.892999306451313,0.8348765432098765,0.9072,0.3611111111111111,0.8272058823529411,0.2,7.215975002651466,3,82.509,4.425,0
E01015494,Swindon 019A,E02003230,Swindon 019,3.846267744362679,10.550136939436491,Swindon,1.0,0.7969924812030075,0.0,5.192085509095697,0.8097506925207756,0.8989349112426035,0.2978723404255319,0.456621005,0.5,7.874358824729881,4,58.743,4.09,0
E01015496,Swindon 019C,E02003230,Swindon 019,3.098063204651453,10.28124945755235,Swindon,1.0,0.7969924812030075,0.0,5.442163529238335,0.8097506925207756,0.8989349112426035,0.2978723404255319,0.3546966731898239,0.3103448275862069,7.623153068476902,6,23.276,3.189,0
E01015497,Swindon 019D,E02003230,Swindon 019,2.539236994333048,10.856450882078112,Swindon,1.0,0.7969924812030075,0.0,5.615800647659523,0.8097506925207756,0.8989349112426035,0.2978723404255319,0.1310425160163075,0.3333333333333333,7.4489161025442,6,9.326,2.335,0
E01015498,Swindon 021B,E02003232,Swindon 021,2.2979744804363627,11.913273056454289,Swindon,1.0,0.8955223880597015,0.0,5.127045271527956,0.7657550535077289,0.9048442906574394,0.4067796610169492,0.0340715502555366,0.3333333333333333,7.474204806496124,8,8.678,2.27,0
E01015501,Swindon 022A,E02003233,Swindon 022,6.019570838655752,12.091988927431547,Swindon,1.0,0.7671232876712328,0.02739726,5.298158916265166,0.8415637860082306,0.9290123456790124,0.2962962962962963,1.694915254237288,0.1304347826086956,7.213768308118642,9,349.988,5.861,0
E01015502,Swindon 022B,E02003233,Swindon 022,2.0090190773832903,12.279327754099118,Swindon,1.0,0.7671232876712328,0.02739726,5.155045922719535,0.8415637860082306,0.9290123456790124,0.2962962962962963,0.019144863,0.3333333333333333,7.357556200910353,3,5.014,1.794,0
E01015503,Swindon 022C,E02003233,Swindon 022,8.135360719687952,13.49526183116618,Swindon,1.0,0.7671232876712328,0.02739726,5.343160256399924,0.8415637860082306,0.9290123456790124,0.2962962962962963,2.0,0.1489361702127659,7.168579897264035,3,2487.72,7.82,0
E01015506,Swindon 007A,E02003218,Swindon 007,2.800143089759132,11.25462094856243,Swindon,1.0,0.92,0.0,4.2646537103011495,0.756198347,0.8582230623818525,0.1904761904761904,0.1336005344021376,0.5,7.311886164077165,2,12.539,2.606,0
E01015507,Swindon 007B,E02003218,Swindon 007,1.9714386491281808,12.23579810055104,Swindon,1.0,0.92,0.0,4.1747624340343465,0.756198347,0.8582230623818525,0.1904761904761904,0.0182926829268292,0.1666666666666666,7.403061091090091,1,3.285,1.455,0
E01015508,Swindon 010A,E02003221,Swindon 010,2.0286744246261827,10.958271369195964,Swindon,1.0,0.7555555555555555,0.0,5.388875633907146,0.841308594,0.918646694,0.1940298507462686,0.07482108,0.3478260869565217,7.338238150065589,2,3.958,1.601,0
E01015509,Swindon 010B,E02003221,Swindon 010,6.561576485792391,11.986318797221353,Swindon,1.0,0.7555555555555555,0.0,5.177932264240113,0.841308594,0.918646694,0.1940298507462686,2.0,0.2045454545454545,7.550135342488429,5,868.797,6.768,0
E01015510,Swindon 010C,E02003221,Swindon 010,3.6604799795922394,10.704719915827976,Swindon,1.0,0.7555555555555555,0.0,5.0081299400374535,0.841308594,0.918646694,0.1940298507462686,0.3771073646850044,0.5882352941176471,7.720905251936779,3,31.374,3.477,0
E01015511,Swindon 010D,E02003221,Swindon 010,2.3192455338871527,11.477363188411577,Swindon,1.0,0.7555555555555555,0.0,5.164418008294474,0.841308594,0.918646694,0.1940298507462686,0.049325026,0.4736842105263157,7.563719668414366,5,5.801,1.917,0
E01015512,Swindon 028C,E02006849,Swindon 028,2.4970822257181338,11.398378437786077,Swindon,1.0,0.8448275862068966,0.0,4.984310354418311,0.7708333333333334,0.8961111111111111,0.4583333333333333,0.075574365,0.4,7.411556287811163,10,9.916,2.39,0
E01015513,Swindon 004A,E02003215,Swindon 004,2.204531152518657,11.585689439125026,Swindon,1.0,0.8888888888888888,0.0,4.355722146787147,0.7334593572778827,0.8834019204389575,0.3043478260869565,0.050167224,0.4666666666666667,7.310550158534422,9,11.652,2.538,0
E01015514,Swindon 004B,E02003215,Swindon 004,2.033790196260747,11.155211635712307,Swindon,1.0,0.8888888888888888,0.0,4.564778539583967,0.7334593572778827,0.8834019204389575,0.3043478260869565,0.078512397,0.4736842105263157,7.099201743553092,9,5.352,1.849,0
E01015515,Swindon 004C,E02003215,Swindon 004,1.8330613485851608,12.766262554340948,Swindon,1.0,0.8888888888888888,0.0,4.394792747106478,0.7334593572778827,0.8834019204389575,0.3043478260869565,0.0104384133611691,0.3333333333333333,7.271008538280992,10,4.418,1.69,0
E01015516,Swindon 004D,E02003215,Swindon 004,3.27143032360309,10.784872287561706,Swindon,1.0,0.8888888888888888,0.0,4.494569723346911,0.7334593572778827,0.8834019204389575,0.3043478260869565,0.4041570438799076,0.5714285714285714,7.170119543449628,5,19.551,3.023,0
E01015517,Swindon 004E,E02003215,Swindon 004,2.106326870461218,11.617710199513304,Swindon,1.0,0.8888888888888888,0.0,4.473484435441523,0.7334593572778827,0.8834019204389575,0.3043478260869565,0.0489826676714393,0.5384615384615384,7.191429330036379,9,5.185,1.822,0
E01015518,Swindon 028D,E02006849,Swindon 028,2.252238718557307,11.456835891481573,Swindon,1.0,0.8448275862068966,0.0,5.11236059964793,0.7708333333333334,0.8961111111111111,0.4583333333333333,0.061898211829436,0.4444444444444444,7.282761179605593,10,7.885,2.184,0
E01015519,Swindon 001A,E02003212,Swindon 001,2.8408896877483216,11.585627449185973,Swindon,0.0,0.8870967741935484,0.0,5.186634756545455,0.7927272727272727,0.9120685311161502,0.3703703703703703,0.098814229,0.5,7.325807502595773,3,15.755,2.819,0
E01015520,Swindon 001B,E02003212,Swindon 001,3.874985507325583,11.272606083305911,Swindon,0.0,0.8870967741935484,0.0,5.331716759642874,0.7927272727272727,0.9120685311161502,0.3703703703703703,0.4573170731707317,0.5,7.180069874302796,7,42.466,3.772,0
E01015521,Swindon 001C,E02003212,Swindon 001,4.555486122409602,12.43350963350711,Swindon,0.0,0.8870967741935484,0.0,5.167817665139707,0.7927272727272727,0.9120685311161502,0.3703703703703703,0.24240465416936,0.2,7.344719054149673,9,63.637,4.169,0
E01015522,Swindon 001D,E02003212,Swindon 001,2.0563008492381933,12.179587123065597,Swindon,0.0,0.8870967741935484,0.0,5.333234941337586,0.7927272727272727,0.9120685311161502,0.3703703703703703,0.0267175572519083,0.5714285714285714,7.1785454837637,6,5.022,1.795,0
