rank,LSOA21CD,MSOA21CD,need,IPI,bottleneck,IPI_indirect_low,IPI_commute_down,gva_unrealised_m
1,E01015473,E02003219,2.245159081,0.98540146,msoa_out_commute_share,0.97080292,0.97810219,160.2
2,E01033845,E02003226,2.029004771,0.920240823,msoa_wfh_share,0.89850285,0.927486813,6.1
3,E01033861,E02006849,1.350439955,0.849592413,firm_size_diversity,0.856731845,0.835313549,2.8
4,E01015569,E02003233,1.314297062,0.779476797,msoa_same_msoa_work_share,0.715701423,0.807821408,7.8
5,E01015524,E02003212,0.546259678,0.760829027,employment_quality,0.735468059,0.77350951,1.3
