LSOA21CD,MSOA21CD,need
E01015471,E02006849,0.0
E01015473,E02003219,0.0
E01015475,E02003226,0.0
E01015477,E02003226,0.4822058265513691
E01015478,E02003232,0.0
E01015479,E02003228,0.02688102344368204
E01015480,E02003226,0.1693272525973195
E01015481,E02003224,0.0
E01015482,E02003224,0.0
E01015483,E02003224,0.2866667110761405
E01015484,E02003224,0.0
E01015485,E02003224,0.004618207853524847
E01015486,E02003224,0.0062813060718029945
E01015487,E02003234,0.33914670372327604
E01015488,E02003234,0.7543727845101298
E01015489,E02003234,0.3629910596863781
E01015490,E02003234,0.6031362542999872
E01015491,E02003234,0.0
E01015492,E02003234,0.0
E01015493,E02003228,0.0
E01015494,E02003230,0.7547597443458169
E01015496,E02003230,0.0
E01015497,E02003230,0.24181702559493035
E01015498,E02003232,0.0472787487048727
E01015499,E02003229,0.4824816942962036
E01015500,E02003229,0.4384855755191981
E01015501,E02003233,0.0
E01015502,E02003233,0.6364515418183698
E01015503,E02003233,0.0
E01015504,E02003229,0.0
E01015505,E02003229,0.3161261277737779
E01015506,E02003218,0.0
E01015507,E02003218,1.1724972696798026
E01015508,E02003221,0.7215537419540174
E01015509,E02003221,0.0
E01015510,E02003221,0.735123677176559
E01015511,E02003221,0.21899704461931702
E01015512,E02006849,0.0
E01015513,E02003215,0.6563778326192824
E01015514,E02003215,0.4843656169564161
E01015515,E02003215,0.45992933592411656
E01015516,E02003215,0.16202967357403386
E01015517,E02003215,0.40364737079549595
E01015518,E02006849,0.2996535620213061
E01015519,E02003212,0.5495660350605163
E01015520,E02003212,0.8523265806871123
E01015521,E02003212,0.0
E01015522,E02003212,0.3574805552570459
E01015523,E02003212,0.9510522654924927
E01015524,E02003212,0.7768059139194794
E01015525,E02006847,0.13943741896270634
E01015526,E02003217,0.0
E01015527,E02003218,0.0
E01015528,E02003217,0.18440162095748214
E01015529,E02003217,0.0
E01015530,E02003217,0.0
E01015532,E02003232,0.46865626417212214
E01015533,E02003235,0.6196361885424042
E01015534,E02003235,0.0
E01015535,E02003235,0.0
E01015537,E02003231,0.0
E01015538,E02003231,0.0
E01015539,E02003231,0.21920966077390336
E01015540,E02003231,0.0
E01015541,E02003231,0.046681735856982876
E01015542,E02003231,0.4028911162799811
E01015543,E02003214,0.01949050063072555
E01015544,E02003214,0.17990317016837265
E01015545,E02003214,0.25177577726210165
E01015546,E02003214,0.2321540385354961
E01015547,E02003219,0.0
E01015548,E02003219,0.0
E01015549,E02003220,0.0
E01015550,E02003220,0.3680135511489042
E01015551,E02003220,0.0
E01015552,E02003220,0.0
E01015553,E02003220,0.26831193200733017
E01015554,E02003220,0.2994634315225606
E01015555,E02003216,0.0
E01015556,E02003216,0.0
E01015557,E02003216,0.13147535721411785
E01015558,E02003216,0.3413584634939162
E01015559,E02003216,0.16147603698128687
E01015560,E02003216,0.0
E01015561,E02003225,0.04458319591639626
E01015562,E02003222,0.0
E01015563,E02003222,0.13686539343297843
E01015564,E02003225,0.0
E01015565,E02003222,0.17217333997308515
E01015566,E02003222,0.40417007311748376
E01015567,E02003225,0.3106660562473933
E01015568,E02003225,0.0
E01015569,E02003233,1.642362934007504
E01015570,E02003233,0.0
E01015571,E02003233,0.2735363407224942
E01015572,E02003227,0.0
E01015573,E02003227,0.0
E01015574,E02003228,0.3732846625965811
E01015575,E02003227,0.0
E01015576,E02003228,0.0
E01015578,E02003223,0.0
E01015579,E02003223,0.02850240575828078
E01015580,E02003218,0.0
E01015581,E02003223,0.0
E01015582,E02003223,0.0
E01015584,E02003236,0.9636690486730162
E01015585,E02003236,0.32735518567650423
E01015586,E02003236,0.25279740891059577
E01015587,E02003236,0.701933913164313
E01015588,E02003236,0.5318669188510059
E01032700,E02006847,0.6626247829126943
E01032701,E02006848,0.044970305149518275
E01032702,E02006848,0.0
E01032703,E02006847,0.5860745455468552
E01032704,E02006848,0.0
E01032705,E02006847,0.16378386874933382
E01032706,E02003232,0.1605319630054911
E01032707,E02003232,0.14255947468177554
E01032708,E02003223,0.4504385103044921
E01032709,E02006847,0.09203641146523678
E01032710,E02006849,0.0
E01032711,E02006848,0.006637842838727259
E01032712,E02006848,0.22376085280221014
E01032713,E02006847,0.31281698776389666
E01032714,E02003230,0.0
E01032715,E02003230,0.7420910905701597
E01032716,E02003223,0.0
E01033841,E02003219,0.0
E01033843,E02003219,0.0
E01033845,E02003226,1.994269568235329
E01033846,E02003226,0.3282887523478779
E01033847,E02003235,0.0
E01033848,E02003235,0.0
E01033849,E02003236,0.33544791822539555
E01033850,E02003236,1.3379227030764698
E01033860,E02006849,0.44681708946564314
E01033861,E02006849,1.108965803531195
